"PLANTID" "GARDENID" "YEAR" "SEASON" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"331" "GON_1093" "GON" 2021 "S3" 10.8 8.84 8
"332" "GON_1093" "GON" 2021 "S3" 11.53 10.6 NA
"333" "GON_1093" "GON" 2021 "S3" 14.09 11.45 NA
"334" "GON_1093" "GON" 2022 "S2" 8.67 10.62 10
"335" "GON_1093" "GON" 2022 "S2" 9.51 12.1 10
"336" "GON_1093" "GON" 2022 "S2" 9.26 10.29 10
"337" "GON_1093" "GON" 2022 "S2" 9.02 11.94 10
"338" "GON_1093" "GON" 2022 "S2" 9.4 11.1 10
"339" "GON_1095" "GON" 2021 "S2" 9.33 8.94 10
"340" "GON_1095" "GON" 2021 "S2" 9.63 9.95 10
"341" "GON_1095" "GON" 2021 "S2" 14.73 11.44 10
"342" "GON_1096" "GON" 2022 "S2" 9.09 9.95 4
"343" "GON_1096" "GON" 2022 "S2" 10.07 11.44 8
"344" "GON_1096" "GON" 2022 "S2" 9.53 11.55 10
"345" "GON_1096" "GON" 2022 "S2" 10.99 12.17 10
"346" "GON_1096" "GON" 2022 "S2" 8.98 9.93 10
"347" "GON_1097" "GON" 2021 "S3" 12.21 8.58 10
"348" "GON_1097" "GON" 2021 "S3" 11.91 9.1 NA
"349" "GON_1097" "GON" 2021 "S3" 12.38 6.86 NA
"350" "GON_1097" "GON" 2021 "S3" 11.27 6.86 NA
"351" "GON_1098" "GON" 2022 "S2" 9.62 10.85 9
"352" "GON_1099" "GON" 2021 "S3" 11.75 8.68 10
"353" "GON_1099" "GON" 2022 "S2" 8.57 9.19 9
"354" "GON_1099" "GON" 2022 "S2" 8.78 8.61 10
"355" "GON_1099" "GON" 2022 "S2" 9.61 9.83 10
"356" "GON_1099" "GON" 2022 "S2" 8.68 10.45 10
"357" "GON_1099" "GON" 2022 "S2" 8.93 9.28 10
"358" "GON_1100" "GON" 2021 "S3" 14.32 12.91 10
"359" "GON_1100" "GON" 2021 "S3" 13.6 10.88 NA
"360" "GON_1100" "GON" 2021 "S3" 15.74 10.39 NA
"361" "GON_1101" "GON" 2022 "S2" 10.75 9.79 10
"362" "GON_1101" "GON" 2022 "S2" 11.35 13.87 10
"363" "GON_1101" "GON" 2022 "S2" 10 11.92 10
"364" "GON_1101" "GON" 2022 "S2" 10.82 12.95 10
"365" "GON_1109" "GON" 2022 "S2" 7.48 7.4 10
"366" "GON_1114" "GON" 2022 "S2" 6.25 5.76 3
"367" "GON_1119" "GON" 2022 "S2" 7.53 7.52 6
"368" "GON_1121" "GON" 2022 "S2" 9.49 11 10
"369" "GON_1121" "GON" 2022 "S2" 10.77 10.48 10
"370" "GON_1121" "GON" 2022 "S2" 10.57 10.08 10
"371" "GON_1121" "GON" 2022 "S2" 9.02 9.08 10
"372" "GON_1121" "GON" 2022 "S2" 10.94 10.99 10
"373" "GON_1122" "GON" 2022 "S2" 12.03 11.01 10
"374" "GON_1122" "GON" 2022 "S2" 9.56 10.74 10
"375" "GON_1122" "GON" 2022 "S2" 10.03 8.45 10
"376" "GON_1122" "GON" 2022 "S2" 7.59 9.46 7
"377" "GON_1122" "GON" 2022 "S2" 11.62 8.5 6
"378" "GON_1123" "GON" 2021 "S3" 6.19 7.34 10
"379" "GON_1125" "GON" 2021 "S2" 8.78 5.89 10
"380" "GON_1125" "GON" 2022 "S2" 7.95 8.25 9
"381" "GON_1125" "GON" 2022 "S2" 8.86 9.36 9
"382" "GON_1125" "GON" 2022 "S2" 8.84 10.49 10
"383" "GON_1125" "GON" 2022 "S2" 9.89 10.13 10
"384" "GON_1125" "GON" 2022 "S2" 9.36 8.4 10
"385" "GON_1127" "GON" 2021 "S3" 13.59 12.45 10
"386" "GON_1130" "GON" 2021 "S3" 10.04 10.02 10
"387" "GON_1130" "GON" 2021 "S3" 9.37 9.57 NA
"388" "GON_1130" "GON" 2022 "S2" 9.85 8.77 10
"389" "GON_1130" "GON" 2022 "S2" 11.09 9.79 7
